ID,Keyword,Cluster,Search Intent,Estimated Difficulty,Business Value,Priority Score,Recommended Page Type,Primary Funnel Stage,Notes
867,ManageEngine ServiceDesk Plus consultant Kuala Lumpur,ITSM tools and migrations,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
868,ManageEngine ServiceDesk Plus consultant Southeast Asia,ITSM tools and migrations,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
869,Microsoft Dynamics 365 Customer Service consultant Bangkok,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
870,Microsoft Dynamics 365 Customer Service consultant Jakarta,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
871,Microsoft Dynamics 365 Customer Service consultant Kuala Lumpur,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
872,Microsoft Dynamics 365 Customer Service consultant Manila,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
873,Microsoft Dynamics 365 Customer Service consultant Singapore,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
874,Microsoft Dynamics 365 Customer Service consultant Southeast Asia,General IT consulting,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
875,Next.js website development company Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
876,Next.js website development company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
877,Next.js website development consultant Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
878,Next.js website development consultant Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
879,Next.js website development travel company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x industry location
880,RAG chatbot development company Kuala Lumpur,AI automation and agents,Local/Transactional,34,5,100,Location landing page,Decision,service x location
881,RAG chatbot development company Southeast Asia,AI automation and agents,Local/Transactional,34,5,100,Location landing page,Decision,service x location
882,RAG chatbot development consultant Kuala Lumpur,AI automation and agents,Local/Transactional,34,5,100,Location landing page,Decision,service x location
883,RAG chatbot development consultant Southeast Asia,AI automation and agents,Local/Transactional,34,5,100,Location landing page,Decision,service x location
884,RAG chatbot development travel company Southeast Asia,AI automation and agents,Local/Transactional,34,5,100,Location landing page,Decision,service x industry location
885,service desk implementation company Kuala Lumpur,ITSM and ITIL authority,Local/Transactional,34,5,100,Location landing page,Decision,service x location
886,service desk implementation company Southeast Asia,ITSM and ITIL authority,Local/Transactional,34,5,100,Location landing page,Decision,service x location
887,service desk implementation consultant Kuala Lumpur,ITSM and ITIL authority,Local/Transactional,34,5,100,Location landing page,Decision,service x location
888,service desk implementation consultant Southeast Asia,ITSM and ITIL authority,Local/Transactional,34,5,100,Location landing page,Decision,service x location
889,service desk implementation travel company Southeast Asia,ITSM and ITIL authority,Local/Transactional,34,5,100,Location landing page,Decision,service x industry location
890,SolarWinds Service Desk consultant Kuala Lumpur,ITSM tools and migrations,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
891,SolarWinds Service Desk consultant Southeast Asia,ITSM tools and migrations,Local/Transactional,34,5,100,Location landing page,Decision,tool x location
892,technical SEO services company Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
893,technical SEO services company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
894,technical SEO services consultant Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
895,technical SEO services consultant Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
896,technical SEO services travel company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x industry location
897,website design agency company Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
898,website design agency company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
899,website design agency consultant Kuala Lumpur,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
900,website design agency consultant Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x location
901,website design agency travel company Southeast Asia,Website and digital growth,Local/Transactional,34,5,100,Location landing page,Decision,service x industry location
902,zero trust consulting company Kuala Lumpur,Cybersecurity and compliance,Local/Transactional,34,5,100,Location landing page,Decision,service x location
903,zero trust consulting company Southeast Asia,Cybersecurity and compliance,Local/Transactional,34,5,100,Location landing page,Decision,service x location
904,zero trust consulting consultant Kuala Lumpur,Cybersecurity and compliance,Local/Transactional,34,5,100,Location landing page,Decision,service x location
